round_epochs,val_acc,val_loss,loss,acc,activation,optimizer,batch_size,last_activation,hidden_layers,first_neuron,dropout
12,0.42079999987284344,1.6437149112701417,1.71797479498727,0.38088571431296214,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,0,512,0.4
23,0.43946666679382324,1.591626674524943,1.6692050798961093,0.3995714285169329,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,512,0.4
31,0.46999999996821085,1.5346471517562865,1.541722243145534,0.45342857136045184,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,1,512,0.3
14,0.4488000000158946,1.5739550671895346,1.5847731210708618,0.43485714287757876,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,1,512,0.2
29,0.4751333333651225,1.5204709698359171,1.4377119683946882,0.4881428571496691,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,0,512,0.1
16,0.436466666730245,1.61859867699941,1.6071384590148925,0.4295999999863761,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,128,0.1
21,0.47720000003178914,1.5134563990910848,1.4664202669688633,0.4791142857142857,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,1,128,0.2
20,0.47233333325386045,1.5394094657262167,1.3759914602007184,0.5172857144219535,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,512,0
16,0.4454000000158946,1.5535794032414754,1.6186773202896119,0.4223142857347216,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,1,128,0.4
5,0.2722666666825612,1.9519220260620118,2.0658516499928066,0.20157142857142857,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,0,128,0.4
14,0.4396666666825612,1.590139328702291,1.6332489720480783,0.41628571429252625,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,1,512,0.2
17,0.4241333333333333,1.6428764476776123,1.665259122957502,0.4010857142789023,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,1,256,0.2
30,0.47679999990463257,1.5266866603215536,1.4334168406350272,0.4919428571019854,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,256,0.1
13,0.3880666666984558,1.7422894389470418,1.813089328139169,0.3392285714490073,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,0,256,0.3
16,0.4746666666507721,1.4856517760594685,1.442727860369001,0.4886857142857143,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,0,128,0.1
21,0.4524666666984558,1.5450307212193808,1.6112689426967075,0.42614285715648104,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,2,128,0.4
18,0.4298666666507721,1.602713754526774,1.5930573104040964,0.4252857142720904,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,2,256,0.1
28,0.477800000111262,1.4862802000681559,1.5272942929404123,0.45660000007493157,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,0,256,0.5
22,0.46346666668256126,1.5184581136067707,1.5479767300469536,0.44925714299338204,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,1,128,0.4
18,0.48120000003178914,1.8184153689702351,1.4265902218954905,0.49391428572790963,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,2,256,0.2
16,0.3868666666666667,1.7338724385579427,1.8392477639879499,0.3237714285646166,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,0,256,0.4
17,0.49106666666666665,1.4686352051417033,1.3636787008558,0.5171999999795641,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,1,512,0.1
9,0.4101333333492279,1.653513182067871,1.6682949629102435,0.400857142836707,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,2,256,0.1
19,0.4688000000317891,1.5485477223714192,1.462400740487235,0.4796857142448425,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,0,256,0.2
10,0.37853333331743877,1.7500410618464153,1.8451029292242869,0.3255714285646166,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,2,128,0.3
14,0.45353333325386047,1.5781872493743896,1.5940322204862323,0.4341142856802259,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,1,512,0.5
21,0.4347333333492279,1.611295848083496,1.6896694822311402,0.3940857142789023,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,1,512,0.4
11,0.4029999999841054,1.69707869942983,1.6932384453909737,0.39259999998637607,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,64,softmax,0,128,0.1
19,0.49679999996821084,1.4839462878545124,1.2624738212312971,0.5502571428707668,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,2,512,0
21,0.3688666666984558,1.781088957150777,1.8979493297304426,0.29208571430615016,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,256,0.5
23,0.48846666673024497,1.4757236717859903,1.3775265935080392,0.5136000001362392,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,1,128,0.1
19,0.3566000000158946,1.808328940709432,1.91856520148686,0.27957142853055683,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,2,128,0.4
23,0.5056666666984558,1.4220935574213664,1.3435810218538558,0.5157714285714285,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,0,512,0.2
12,0.41880000001589457,1.647044470278422,1.7068362473079137,0.3871142857210977,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,1,256,0.5
17,0.4719333333333333,1.4947892488479615,1.481413998876299,0.4764,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,1,128,0.2
14,0.4429999999682109,1.6139792317708332,1.6318468180520194,0.4233714285169329,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,0,128,0.5
13,0.4700666666348775,1.5558706624984742,1.4525575249535696,0.47939999998637606,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,1,512,0.1
11,0.46100000003178915,1.5563486335118613,1.4924033019202096,0.470257142829895,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,0,512,0.1
12,0.45233333323796593,1.557465975443522,1.5860374722072057,0.43637142864636014,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,0,256,0.4
10,0.45906666668256124,1.5442305662155151,1.5457892324175153,0.4487714285986764,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,0,512,0.2
9,0.3018666666507721,2.0554847361246744,2.071956705965315,0.2027714285646166,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,2,128,0.5
15,0.40479999998410543,1.6994717285792034,1.7797512342997959,0.3544285714285714,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,2,256,0.3
23,0.3663333333174388,1.8195235052108765,1.911083363015311,0.2842857142823083,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,1,128,0.4
23,0.4832,1.5637428930282593,1.3790825020108903,0.507999999993188,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,128,softmax,1,128,0.1
26,0.45299999987284345,1.5915779352823893,1.445973683493478,0.49148571443557737,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,1,128,0
14,0.4544666666666667,1.5468732121785482,1.5874292746952603,0.43039999998637607,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,0,256,0.4
10,0.37433333326975504,1.77447918548584,1.8911718934740338,0.30579999995912827,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,1,256,0.5
22,0.4259333333015442,1.6521862696965535,1.712625185067313,0.3810571428639548,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,1,512,0.3
17,0.4786,1.5198763121922811,1.412348956135341,0.4983714286123003,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,2,256,0.1
12,0.39086666666666664,1.694927461942037,1.718648675264631,0.3767428571224213,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,64,softmax,1,128,0.1
11,0.33786666661898296,1.8761231001536052,1.9937664666039603,0.2478285713808877,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,2,128,0.5
19,0.4536666666825612,1.5704175748825073,1.4766896687098912,0.4776857142720904,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,1,128,0
20,0.3970666665395101,1.6917490320205688,1.7083535602024624,0.38291428578921727,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,2,128,0.1
17,0.453400000111262,1.5454681184132895,1.5780029680524554,0.44088571422440664,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,1,128,0.4
24,0.48659999985694885,1.4723903630574544,1.4051477398736136,0.5013142857006618,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,256,softmax,0,512,0.3
14,0.42800000001589456,1.631712835629781,1.6856884020941598,0.3965142857347216,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,2,512,0.3
10,0.4428666667461395,1.580123315747579,1.6053612974439349,0.4288000000749316,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,1,256,0.4
34,0.4975333332379659,1.4275462366739908,1.4359204705102102,0.48971428583690096,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,2,256,0.4
